Dec-1946	28,563
Nov-1946	54,006
Oct-1946	17,166
Sep-1946	11,791
Aug-1946	48,152
Jul-1946	11,742
Jun-1946	18,664
May-1946	18,282
Apr-1946	16,846
Mar-1946	18,622
Feb-1946	18,136
Jan-1946	19,073
Dec-1945	21,932
Nov-1945	23,885
Oct-1945	58,819
Sep-1945	51,219
Aug-1945	43,414
Jul-1945	47,164
Jun-1945	54,584
May-1945	69,099
Apr-1945	47,776
Mar-1945	60,156
Feb-1945	63,987
Jan-1945	68,276
Dec-1944	74,181
Nov-1944	81,832
Oct-1944	80,779
Sep-1944	71,301
Aug-1944	111,391
Jul-1944	73,539
Jun-1944	78,459
May-1944	89,283
Apr-1944	93,041
Mar-1944	55,269
Feb-1944	61,336
Jan-1944	68,984
Dec-1943	45,889
Nov-1943	68,005
Oct-1943	54,973
Sep-1943	48,344
Aug-1943	41,286
Jul-1943	25,114
Jun-1943	23,173
May-1943	14,395
Apr-1943	8,533
Mar-1943	6,036
Feb-1943	6,829
Jan-1943	2,010
Dec-1942	893
Nov-1942	138
Oct-1942	67
Sep-1942	24
Aug-1942	15,000
